Date,NewsPaper,Headline,MainText,Sentiment_Score,Sentiment_Magnitude
20240429,cnn,Manufacturing in Mexico is having its moment. The US is buying in — and so is China,"As US supply chains decouple from China, Mexico’s manufacturing sector is emerging as a winner. Manufacturing in Mexico is attractive for companies that experienced pandemic-era supply chain snarls or want to decrease reliance on trade between the US and China amid geopolitical uncertainty. That’s called nearshoring, which is when companies bring production facilities closer to home markets. As nearshoring continues and global supply chains are reorganized, Mexico’s manufacturing sector has an opportunity for long-term success, according to Alberto Ramos, head of Latin American economics research at Goldman Sachs, who spoke with CNN. Ramos said Mexico and China have been competing for the US manufacturing market for years, but amid a shifting US-China relationship, Mexico looks poised to pull ahead. Mexico surpassed China as the top exporter to the US in 2023. Those exports were driven by manufacturing, which comprises 40% of Mexico’s economy, according to Morgan Stanley. US imports from Mexico continued to increase in February, according to April 4 trade data released by the Commerce Department. Meanwhile, Chinese exports to the US were down 20% in 2023, compared to 2022. US Trade Representative Katherine Tai told CNN’s Julia Chatterley that supply chains have made the US economy over-reliant on the Chinese economy in the past. “The challenge for us is how do you create more resilience in your economy and in trade? Because right now, the way trade has been operating, our supply chains have been so entangled and they have created so much concentration in the Chinese economy, that we all feel extremely vulnerable because the supply chains are fragile,” Tai said. Amid shifting geopolitics and competition, US and Chinese companies both see potential in Mexican manufacturing: Low labor costs, geographic proximity to American markets and the US-Mexico-Canada (USMCA) agreement — a free trade accord established in 2020 that makes trade in North America more cost-effective and efficient — are all factors contributing to a potential boom. Made in where? While US policy intends to decrease reliance on China and “create more resilience” in US trade, moving supply chains can be tricky. In fact, the US drive to disengage from the Chinese economy might be enabling China  to access new markets and avoid US tariffs. Cars are a major export for Mexico, and they illustrate much of what’s happening. Mexico is a global hub for car factories, hosting plants from major companies operating in the US, including General Motors, Ford, Stellantis and nearly a dozen more. Virtually every American auto manufacturer depends on parts from Mexico to build its cars or trucks, because those parts can be substantially cheaper than those made in the US. Free trade agreements like the USMCA mean companies in the US, Mexico and Canada face fewer barriers moving, selling and buying parts across North America. A diversion from free trade is tariff policy: In 2018, the US hiked tariffs on imports from China, which makes it more expensive for Chinese goods to enter US markets and dissuades companies from relying on Chinese supply chains. Cars require tens of thousands of parts, which can be made in any number of places. And while Mexico’s manufacturing sector is increasing exports to the US, Chinese companies might be using Mexico as a route to avoid US tariffs on Chinese goods, according to Xeneta, an ocean freight rate benchmarking and market intelligence platform. Shipping container exports from China to Mexico were up nearly 60% in January compared to a year ago, according to Container Trade Statistics analyzed by Xeneta. The surge in exports from China to Mexico suggests the possibility “that the increase in trade we are witnessing is due to importers trying to circumvent US tariffs,” Peter Sand, chief analyst at Xeneta, wrote in a March 15 research note. An April report by Moody’s Analytics said that while Mexico has increased its manufacturing output, production may be boosted by goods manufactured outside of the country. The increase in Mexican exports to the US has “been roughly matched by simultaneous and closely correlated growth in Mexican imports from China,” according to S&P Global Market Intelligence country risk analysts Jose Enrique Sevilla-Macip and John Raines. Goldman’s Ramos said there is an economic incentive to move production to Mexico to avoid tariffs. “It’s a way to circumvent the policy objectives that were behind the enactment of tariffs,” he told CNN. On Capitol Hill, the possibility that Chinese steel is ducking US tariffs has garnered attention from lawmakers. The Biden administration announced that it is working with the Mexican government to prevent China and other countries from evading US tariffs on steel and aluminum via US imports from Mexico. As early as February, Tai inquired about “the lack of transparency” around Mexico’s steel and aluminum imports from “third countries” during a meeting with Raquel Buenrostro, Mexico’s secretary of economy. Concerns of tariff evasion are drawing a response from the US president — and will continue to beyond November’s election. The USMCA is set to be reviewed in 2026. Both US President Joe Biden and his challenger, former President Donald Trump, espouse goals to grow domestic manufacturing, but they diverge on how to go about doing so. Biden told steelworkers in Pittsburgh recently that the US government should consider tripling tariffs on Chinese steel. And Trump has proposed a potential 60% tariff on Chinese goods if he returns to the presidency. “With both US presidential candidates vying to win important Midwestern swing states that have significant auto industries, the issue of US-Mexico-China trade will only increase as the 2024 presidential campaign unfolds,” S&P Global’s Sevilla-Macip and Raines said. A gradual shift While supply chains are shifting, moving factories isn’t always that simple. It can take significant investment, from time to money to people. The companies that are moving forward, though, are creating long-term opportunities for the Mexican manufacturing industry. “It certainly feels like things are booming in Monterrey,” a city in northern Mexico, said Christoffer Enemaerke, a portfolio manager at RBC. On a recent trip there, he told CNN, “we met with companies and experts in the real estate industry and the feedback was that nearshoring is likely to be a multi-year driver of growth for Mexico, particularly in the northern part of the country.” Tesla (TSLA), for example, said last year that it would build a new plant in Monterrey. “We’re super excited about it,” CEO Elon Musk said during an investor day for the company, adding that the plant would add capacity, rather than replace capacity elsewhere. Sentiment on the ground is exciting, but most investment flows are yet to be seen,  Ramos told CNN. Analysts at Morgan Stanley see the value of Mexico’s exports to the United States growing from $455 billion to about $609 billion in the next five years. That also makes Mexico an attractive base for many Chinese companies. EV maker BYD, a global competitor to Musk’s Tesla, announced in February plans for a major expansion in Mexico. While BYD doesn’t currently sell cars in the US market, a move to Mexico would provide better access to the Mexican market while preparing the company for a potential move into the US. “Chinese investment and exports to Mexico are highly likely to become a headline issue ahead of the 2026 scheduled review of the USMCA,” Sevilla-Macip and Raines said. Until then, though, places like Monterrey continue to reap the rewards. Monterrey, said RBC’s Enemaerke, “feels booming, new and vibrant, more so than other industrial cities I’ve been to, which have mainly been in Asia.” CNN’s Michael Nam contributed to this report.",0.061000000685453415,22.70400047302246
20240429,nbcnews,Elon Musk makes surprise visit to Beijing as Tesla's China-made cars pass data security rules,"BEIJING — Local Chinese authorities have removed restrictions on Tesla cars after the company’s China-made vehicles passed the country’s data security requirements, the automaker said Sunday. The breakthrough came as Tesla CEO Elon Musk arrived in Beijing for an unexpected meeting with Chinese Premier Li Qiang, amid the first major auto show in the city in four years. Although Tesla’s electric cars are some of the most popular vehicles in China, they have reportedly been banned from some government-related properties due to concerns about what data the U.S.-based automaker can collect. Tesla’s news release did not specify which local authorities had removed restrictions on the cars. The Biden administration earlier this year announced an investigation into whether imported cars from China pose national security risks due to their ability to potentially collect data about the U.S. and send it back to China. Tesla’s vehicles were not the only ones that passed the data security rules. In addition to Tesla’s Model 3 and Model Y, several new energy vehicles from BYD, Lotus, Nezha, Li Auto and Nio passed China’s data security requirements, the China Association of Automobile Manufacturers and the National Computer Network Emergency Response Technical Team/Coordination Center of China said Sunday. The new data security requirements for “connected vehicles” were released in November and cover cars released in 2022 and 2023 which automakers voluntarily submit for inspection, the center said. The rules test for whether the cars anonymize facial recognition data outside the vehicle, default to not collecting cockpit data, process that data inside the car and prominently notify users of personal information processing. Tesla was included in the first batch of automakers that met the data compliance requirements. Tesla said in its news release that it localized data storage in 2021 at its Shanghai data center, and passed the ISO 27001 international standard for information security after a review by third-party auditors. Musk’s visit to China on Sunday also raised expectations that Tesla’s driver-assist software Full Self Driving would soon be available in the country. However, JL Warren Capital CEO and Head of Research Junheng Li said on X that the rollout of a “supervised” version of FSD in China is “extremely unlikely.” She pointed to challenges for Tesla to support local operation of the software as a foreign entity in China. Li said there’s “no strategic value” for Beijing to support FSD’s domestic rollout when there are many high-quality local alternatives, such as Xpeng’s driver-assist software. Premier Li visited Xpeng and other companies at the Beijing auto show on Sunday, and called for innovation and demand to drive production, according to state media. Tesla is not exhibiting at this year’s auto show, as has been the case since a protester stood on one of its cars during the auto show in Shanghai in 2021. The show alternates between Beijing and Shanghai on an annual basis, and wasn’t held in 2022 due to the Covid-19 pandemic.",0.0689999982714653,7.2220001220703125
20240429,cnn,The longest commercial passenger flight from China will take you to Mexico City,"China Southern Airlines is launching its first-ever direct passenger flight from the megacity of Shenzhen to Mexico City, which will set the record as the longest nonstop regular commercial flight to originate in China. The flight will cover an intercontinental distance of around 14,147 kilometers (8,790 miles) in each direction. The inaugural flight will depart from the Chinese southern metropolis of Shenzhen on May 11, making a 16-hour nonstop journey to Mexico City, according to information available from China Southern Airlines. The flight will depart on Tuesdays and Saturdays. Flying the other way around is a little more grueling, with an estimated flight time of 21 hours and 20 minutes. It will begin service on Wednesdays and Sundays from May 12. The slightly longer route to China includes a brief refueling stopover at Tijuana, during which passengers have to stay on board. The roundtrip journey uses the flight code CZ8031/2 and will be serviced by Airbus A350 aircraft, according to reporting from SZ News, a state-affiliate news outlet based in Shenzhen. The upcoming route overtakes China Southern Airlines’ Guangzhou to New York flight, which covers a distance of 12,871 kilometers, as the furthest nonstop commercial flight to depart from a Chinese airport. Currently, the 15,332 kilometer Singapore to New York route operated by Singapore Airlines claims the top spot as the world’s longest nonstop flight, which runs around 19 hours in each direction. China Southern Airline’s newest route would knock out Singapore Airlines’ Singapore to Los Angeles flight to take 8th place on the list of the world’s longest flights compiled by aviation analytics database OAG. Last year, China reopened its borders to travelers for the first time since the onset of the coronavirus pandemic in early 2020. Airlines have since been restoring flight routes that were halted or greatly reduced during the pandemic, particularly long-haul legs to the United States and all over Europe. China Southern Airlines was the first-ever Chinese carrier to operate flights to Mexico, launching the Guangzhou-Vancouver-Mexico City route in April 2017, according to reports from Chinese state media agency Xinhua at the time.",0.14499999582767487,3.5199999809265137
20240429,foxnews,San Diego Zoo to welcome pair of giant pandas from China under conservation partnership,"A pair of giant pandas will soon make the journey from China to the U.S., where they will be cared for at the San Diego Zoo as part of an ongoing conservation partnership between the two nations, officials said Monday. The San Diego Zoo Wildlife Alliance said its caretakers recently visited China to meet the giant pandas, Yun Chuan and Xin Bao, ahead of their planned trip to Southern California. An exact date for the handoff hasn't been set. Yun Chuan, a mild-mannered male who's nearly 5 years old, has ""deep connections"" to California, the wildlife alliance said. His mother, Zhen Zhen, was born at the San Diego Zoo in 2007 to parents Bai Yun and Gao Gao. OUTSIDE OF CHINA, PANDAS ARE ONLY FOUND IN THESE 5 ZOOS AROUND THE WORLD Xin Bao is a nearly 4-year-old female described as ""a gentle and witty introvert with a sweet round face and big ears.""  ""Our conservation partners in China shared photographs and personality traits of Yun Chuan and Xin Bao, but meeting them in person was so special,"" said Dr. Megan Owen, the alliance's vice president of conservation science. ""It’s inspiring as people from around the world come together to conserve, protect, and care for these special bears, and we can’t wait to welcome them to San Diego."" CLICK HERE TO GET THE FOX NEWS APP The San Diego Zoo Wildlife Alliance has a nearly 30-year partnership with leading conservation institutions in China focused on protecting and recovering giant pandas and the bamboo forests they depend on.",0.3009999990463257,2.8380000591278076
20240429,cnn,"US is ‘best’ choice for Africa over Russia or China, US Commerce Secretary says","The United States is the best partner for African nations “without strings attached” but it will not force African nations to choose its partnership over Russia or China, US Commerce Secretary Gina Raimondo told CNN. “We think we’re the best, we think we offer opportunities consistent with your [Africa’s] values of freedom and democracy, and so we want to be the partner that you choose to work with,” Secretary Raimondo told CNN’s Larry Madowo in an exclusive interview in Nairobi. She spoke on the sidelines of the AmCham Business Summit after meeting Kenyan President William Ruto during her first official trip to Africa. Anti-Western sentiment Like many other African nations, Kenya has deep ties with China, which has funding projects and major infrastructure projects across the continent. Russia is also making fresh inroads into the continent, capitalizing on anti-Western sentiment in some nations to profit from arms sales and natural resources. Secretary Raimondo addressed the criticism that African nations dislike ‘lectures’ from the US and its European allies about democracy and human rights, and many prefer dealing with China or Russia that don’t make similar demands. Raimondo said the US is coming to Africa “without strings attached,” saying she had brought more than a dozen businesses to the Nairobi summit. “I just met with President Ruto, and we had a fantastic meeting. I said to him: we’re not here to lecture, we’re here to partner, we’re here to learn from you, we’re here to invest, in your people and in your country,” she said.",0.052000001072883606,5.879000186920166
20240429,cbsnews,San Diego Zoo will receive two new giant pandas from China after nearly all pandas in U.S. were returned,"After nearly all of the giant pandas on loan at U.S. zoos were returned to China, the San Diego Zoo has announced they will get two new pandas from the country. They are expected to arrive this summer.The San Diego Zoo Wildlife Alliance announced Sunday that its care team leaders visited China and met two giant pandas – Yun Chuan and Xin Bao, who will be cared for at the California zoo.Yun Chuan is almost 5 years old and is the grandson of Bai Yun, who lived at the San Diego Zoo for 23 years, the zoo said in a news release. His name is a combination of his grandmother's and the province where he came from, Chuan. Xin Bao is almost four years old and, like Yun Chuan, was born at China's Wolong Shenshuping Panda Base. The name Xin Bao means ""new treasure of prosperity and abundance,"" and the zoo describes her as ""a gentle and witty introvert with a sweet round face and big ears.""""Our conservation partners in China shared photographs and personality traits of Yun Chuan and Xin Bao, but meeting them in person was so special,"" said Dr. Megan Owen, vice president of conservation science at San Diego Zoo Wildlife Alliance. ""It's inspiring as people from around the world come together to conserve, protect, and care for these special bears, and we can't wait to welcome them to San Diego.""The China Wildlife and Conservation Association has lent pandas to the U.S. since 1972 – an agreement dubbed ""panda diplomacy."" Under the agreement, the Smithsonian National Zoo, Atlanta Zoo, Memphis Zoo and San Diego Zoo all received pandas and worked with China on research and conservation projects.The agreement with the zoos was extended several times. In 1987, San Diego received two pandas for a 100-day visit, but eventually signed a 12-year agreement and received two pandas, named Bai Yun and Shi Shi, in 1996. The agreement kept getting extended and a total of six pandas were born at the zoo. All of them returned to China by 2019.The Memphis Zoo had a 20-year loan agreement with China, which ended in April 2023, the Associated Press reported.And the National Zoo in Washington, D.C. started receiving pandas in 1972. In 2023, their agreement ended and the zoo returned two pandas Mei Xiang and Tian Tian, who had been at the zoo since 2000, and their baby Xiao Qi Ji, who was born in 2020.The Atlanta Zoo is the only zoo in the U.S. to still have pandas on loan from China, but their agreement, which was put in place in the mid-1990s, expires in 2024 and they are expected to return their pandas Lun Lun and Yang Yang and their offspring, Ya Lun and Xi Lun by the end of the year.The San Diego Zoo said it met with conservation partners from the China Wildlife Conservation Association to discuss research and conservation programs. Over the past 30 years, the zoo has partnered with conservation institutions in China to study the reproductive behavior, physiology, nutritional requirements, habitat needs and genetics of pandas. The zoo even developed a panda milk formula, which, along with other research, has helped increase survival rates of baby pandas from 5% to 95%. They also completed the first successful artificial insemination of a giant panda outside of China. ""Our partnership over the decades has served as a powerful example of how, when we work together, we can achieve what was once thought to be impossible,"" said Owen. ""We have a shared goal of creating a sustainable future for giant pandas.""As of 2023, only 1,864 pandas remain in the wild, mostly in China's Sichuan Province. Breeding programs have been successful and the once-endangered species was upgraded to ""vulnerable"" by the International Union for Conservation of Nature in 2017, according to the World Wildlife Fund. ",0.3529999852180481,9.722999572753906
20240429,foxnews,"China threatens retaliation for Taiwan, TikTok law signed by Biden","China on Monday is threatening to&nbsp;take ""resolute and forceful steps"" to defend itself after President Biden recently signed a bill that provides foreign aid to Taiwan and forces TikTok’s China-based owner to sell the app or be banned in the U.S.&nbsp; The legislation approved by Biden last Wednesday offers $95 billion in assistance to Ukraine and Israel, including nearly $2 billion to replenish U.S. weapons provided to Taiwan and other regional allies, according to The Associated Press. It also gives ByteDance nine months to sell TikTok, as well as a possible three-month extension if a sale is in progress.&nbsp; ""China firmly rejects the U.S. passing and signing into law the military aid package containing negative content on China,"" Chinese Foreign Ministry spokesperson Lin Jian said in a briefing Monday. ""We have lodged serious representations to the U.S.""&nbsp; ""This package gravely infringes upon China’s sovereignty. It includes large military aid to Taiwan, which seriously violates the one-China principle... and sends a seriously wrong signal to ‘Taiwan independence’ separatist forces,"" he continued. ""The legislation undermines the principles of market economy and fair competition by wantonly going after other countries’ companies in the name of ‘national security,’ which once again reveals the U.S.’s hegemonic and bullying nature.""&nbsp; BIDEN CAMPAIGN TO STAY ON TIKTOK EVEN AFTER PRESIDENT SIGNS LAW TO FORCE SALE OR BAN APP IN US&nbsp;  China has been engaged in a territorial dispute with Taiwan, which has welcomed the legislation by saying it will help security, according to Reuters.&nbsp; ""If the United States clings obstinately to its course, China will take resolute and forceful steps to firmly defend its own security and development interests,"" Lin reportedly added.&nbsp; TAIWAN PRESIDENT-ELECT CHOOSES NEW FOREIGN, DEFENSE MINISTERS AS CHINA ANNEXATION THREATS INTENSIFY&nbsp;  U.S. lawmakers have accused TikTok of being a risk to U.S. national security, collecting user data, and spreading propaganda.  CLICK HERE TO GET THE FOX NEWS APP&nbsp; China has previously said it would oppose forcing the sale of TikTok. TikTok has long denied it is a security threat and is preparing a lawsuit to block the legislation.&nbsp; Fox News’ Brooke Singman and The Associated Press contributed to this report.&nbsp;",-0.38999998569488525,6.485000133514404
20240429,foxnews,"South Korean opposition leader pushes president to accept investigation of wife, top officials","Emboldened by his party’s recent election win, South Korea’s opposition leader pressured President Yoon Suk Yeol to accept special investigations into allegations involving top officials and his wife, as they met Monday for talks on bipartisan cooperation. The meeting was their first since Yoon took office in 2022 after defeating Lee Jae-myung in the country’s closest presidential election race. During their 2022 campaigns, Yoon, Lee and their supporters demonized each other and filed dozens of lawsuits against one another. Yoon proposed the meeting as he faces growing calls to cooperate with Lee’s Democratic Party, whose victory in the April 10 parliamentary election allows it to extend its control of the single-chamber National Assembly until after Yoon’s single five-year term ends in 2027. NORTH KOREA ISSUES NUCLEAR 'WARNING SIGNAL' TO US, SOUTH KOREA In his lengthy opening remarks, Lee said the election results mean ""the people’s stern demand for correcting wrong government administrations,"" addressing economic troubles and restoring democratic rules.  Lee urged Yoon to accept independent probes into the 2022 Halloween crush in Seoul that killed 159 people, and the 2023 death of a marine who drowned during a search-and-rescue operation for flood victims. Lee’s party has accused Yoon of ignoring public demands and retaining top officials and military commanders responsible for the deadly incidents. Lee also asked Yoon to resolve ""diverse suspicions involving his family"" that ""poses a big burden on government operations."" That was apparently a reference to first lady Kim Keon Hee, who faces an allegation of involvement in a stock price manipulation and other scandals. ""I’d say it would be good for you, as president, to respect the National Assembly and consider the opposition party as a partner for government operations,"" Lee said. KIM JONG UN THREATENS ATTACKING, 'OCCUPYING' SOUTH KOREA IN EVENT OF CONFLICT While listening to Lee's statement, Yoon nodded several times and said he had expected Lee to make such comments but didn’t elaborate. In a briefing after the meeting, senior presidential adviser Lee Do-woon said that Yoon told Lee that he won’t oppose a special law to investigate the Halloween deaths but noted some potential legal concerns over an ad-hoc investigation committee. He didn’t mention Yoon’s responses to demands for other probes. During the meeting, Lee also asked Yoon to accept his contentious idea of the government giving about $180 to all South Koreans as a way to boost the economy, a step that Yoon’s party has called a populist measure. Lee Do-woon, the presidential adviser, said Yoon said that he prefers selectively supporting those in need. In a separate briefing, Democratic Party spokesperson Park Sung-joon accused Yoon of lacking the resolve to revive public livelihoods. Park cited Lee as suggesting he was disappointed at the meeting’s results though the start of direct communication with Yoon would still be meaningful. No agreement was reached, but Yoon’s office said the president and Lee agreed to meet frequently without setting a date for their next meeting. In one positive news for bipartisan cooperation, Lee told Yoon that his party would support the government’s high-stakes push to increase medical school students, which prompted thousands of young doctors to walk out of the job in February. The government recently suggested it’s open to halving its target medical school enrollment increase to 1,000 per year from the previously proposed 2,000, but doctors say they can’t accept any increase in students. CLICK HERE TO GET THE FOX NEWS APP Yoon has said South Korea needs to create more doctors as it has one of the world’s most rapidly aging populations and its doctors-to-patient ratio is among the lowest in advanced economies. Doctors say schools can’t deal with a too steep increase in students, but critics say they simply worry the supply of more doctors would eventually result in lowering their income. The parliamentary election was seen as a litmus test of Yoon, who has been struggling with low approval rating and an opposition-controlled parliament that has limited his policy agenda since his inauguration. Critics say the election defeat was largely attributable to the government’s failure to suppress rising prices and other economic problems and Yoon’s personal management and leadership styles. Despite the election defeat, Yoon’s major foreign policy agendas will likely remain unchanged as they mostly don’t require parliamentary endorsements. Yoon has pushed hard to boost trilateral cooperation with the United States and Japan to cope with North Korea’s evolving nuclear threats and other challenges.",-0.22200000286102295,9.564000129699707
20240429,foxnews,5 China threats the US can't afford to ignore,"The threats from the Chinese Communist Party continue to grow. From the market manipulation that is hurting American industry, to the fentanyl crisis ravaging our communities, and the persistent military threats against our partners and allies, the CCP has shown why Democrats and Republicans must continue to come together to oppose its malign activities. As Chairman of the Select Committee on the Chinese Communist Party, here are five key areas where I believe the United States must focus our efforts to resist Beijing. 1. Safeguarding Taiwan and America’s allies In February, I traveled to Taiwan with Select Committee Ranking Member Raja Krishnamoorthi, D-Ill., and other members of the committee. The meetings and on-the-ground experience there reinforced the urgent need to ramp up our defense industrial base to meet the challenges posed by the CCP’s growing military ambitions. The trip also made clear that we cannot assume economic measures alone will deter the Chinese military from invading Taiwan. We need to expand training programs for Taiwan’s military and eliminate bottlenecks that have left Taiwan waiting years to receive the weapons it needs to defend itself.&nbsp; CHINA THREATENS RETALIATION FOR TAIWAN, TIKTOK LAW SIGNED BY BIDEN 2. Stopping the CCP from flooding our communities with fentanyl China produces 97% of the world’s supply of fentanyl precursors, and as a bipartisan report from the Select Committee found earlier this month, the CCP shockingly subsidizes fentanyl exports and even warns traffickers about upcoming crackdowns by U.S. law enforcement. As a result, the CCP is not only complicit in the fentanyl crisis, but is the active source in this epidemic which kills nearly 100,000 Americans annually. We need to apply maximum pressure against the Chinese companies that produce fentanyl precursors and the Chinese officials that enable&nbsp;them.&nbsp;  3. Preventing the CCP from dominating key parts of the global economy  The CCP’s ambitions pose a threat to the world economy. In particular, the CCP has sought to dominate key supply chains in order to bend other countries to its will. Unfortunately, many of our nation’s critical supply chains are dependent on China, including electric vehicles and rare earth minerals.&nbsp; BILLIONS IN US INVESTMENT GOES TO CHINESE FIRMS LINKED TO CCP MILITARY, HUMAN RIGHTS ABUSES China already produces nearly 60% of the world’s lithium batteries, and rather than rebuilding our own domestic capacity, state and federal policies are incentivizing Chinese firms to use our own tax dollars for their U.S. ambitions. One of those Chinese companies is CATL, a firm that receives massive subsidies from the CCP, and which has party cells operating throughout the company. Now, as China floods markets around the world with cheap EVs, U.S. automakers are feeling the pressure to keep up and they are looking at partnerships with CATL.  We cannot trade American economic leadership for technology and supply chains controlled by Beijing. 4. Countering the CCP’s malign influence here at home  The CCP has set its sights on communities across America, including in my home-state of Michigan. One example of this is Gotion, a subsidiary of China-based Gotion High Tech which pledges allegiance to the CCP. Gotion is trying to build a battery component factory in my district, and numerous concerns have been raised over the past year and half.&nbsp; There was even bipartisan agreement in January, when Leon Panetta and Mike Pompeo – former CIA directors for Presidents Obama and Trump, respectively – both testified about the dangers of allowing CCP-affiliated companies to build production lines in our country.&nbsp; &nbsp;CLICK HERE FOR MORE FOX NEWS OPINION These facilities grow U.S. dependence on Chinese technology, and could be used for other nefarious activities. Not only is the CCP using its economic leverage against us, but it is also intimidating, harassing, and influencing people on U.S. soil. The CCP has operated illegal police stations across the country to punish anyone who speaks out against it.  5. Resisting the CCP’s propaganda The CCP seeks to influence our politicians, business leaders, and now our youth. Through TikTok and its algorithm, the CCP is able to manipulate what millions of young Americans see and do not see.&nbsp; CLICK HERE TO GET THE FOX NEWS APP In the past year, TikTok has promoted pro-Hamas content, convinced many Americans Usama bin Laden was admirable, and even forced&nbsp;children&nbsp;to call members of Congress when the House took action to protect Americans from the threat of TikTok.&nbsp; Our nation’s founding principles are the heart of our national strength and we need to leverage them to make a clear contrast between the U.S. and the CCP. Under my leadership, the Select Committee on the Chinese Communist Party will continue to work in a bipartisan manner to hold the CCP accountable for its military, economic, and ideological aggression against America and our allies. This is a competition we must win. Republican John Moolenaar represents Michigan's 2nd district in the United States House of Representatives where he serves as chairman of the Select Committee on the Chinese Communist Party.",-0.49799999594688416,25.538999557495117
20240429,foxnews,Last surviving Medal of Honor recipient from the Korean War lies in honor at US Capitol,"The remains of Col. Ralph Puckett, Jr., the last surviving Medal of Honor recipient from the Korean War, lay in honor Monday in the Rotunda of the U.S. Capitol. Puckett Jr., born Dec. 8, 1926, died at his home on Monday, April 8. He was 97.&nbsp; Speaker Mike Johnson and Senate Majority Leader Chuck Schumer announced on Tuesday, April 16, that Congress would honor the fallen Medal of Honor with the prestigious reception.&nbsp; ""The extraordinary valor of Colonel Ralph Puckett, Jr. represents the best of the 1.7 million Americans who left home to fight for freedom in the Korean War,"" the two lawmakers said in a joint statement. ""He demonstrated tireless sacrifice for our country and his fellow Rangers and is an exceptional model for servicemembers and civilians alike. To recognize Colonel Puckett’s remarkable heroism and service, and the contributions of all Korean War veterans, it is our privilege to permit his remains to lie in honor in the Rotunda of the Capitol.""  LAST SURVIVING MEDAL OF HONOR RECIPIENT FROM THE KOREAN WAR WILL LIE IN HONOR AT THE US CAPITOL Lawmakers and members of Puckett’s family surrounded the urn resting in the center of the Capitol’s revered Rotunda.&nbsp; Puckett Jr. was from Tifton, Georgia. He graduated from the U.S. Military Academy at West Point and was commissioned as an Infantry Officer in 1949, where he went on to have a highly-decorated career.   ""He leads from the front. He leads by example. He leads with heart. He is a Ranger, and that’s how Rangers lead — that’s how you lead,"" President Biden said during a White House Ceremony on May 21, 2021, when he presented Puckett, Jr. with a Medal of Honor. The retired Army colonel was 94 years old at the time. COL. RALPH PUCKETT, KOREAN WAR HERO AND MEDAL OF HONOR RECIPIENT, DEAD AT 97 Puckett Jr. served as a U.S. Army Ranger and was deployed to the Korean War in 1950 and the Vietnam War in 1967.   During his 22 years of service, he received two Silver Stars, two Legions of Merit, two Bronze Stars with V device for valor, five Purple Hearts, 10 Air Medals, the Army Commendation Medal, and the World War II Victory Medal, among others, according to the Army. CLICK HERE TO GET THE FOX NEWS APP  According to the Architect of the Capitol, government officials and military officers typically lie in state in the U.S. Capitol while private citizens lie in honor. ""No law, written rule, or regulation specifies who may lie in state; use of the U.S. Capitol Rotunda is controlled by concurrent action of the House and Senate. Any person who has rendered distinguished service to the nation may lie in state if the family so wishes and Congress approves,"" according to its website.",0.30000001192092896,11.532999992370605
