Date,NewsPaper,Headline,MainText
20220429,cbsnews,A tiny research robot is living with an Antarctica penguin colony,"It's a story of unlikely friendship. A small research robot is currently living with an Emperor penguin colony in Antarctica, providing vital information for researchers in Cape Cod, CBS Boston reports.ECHO, the robot, belongs to the Woods Hole Oceanographic Institution and rolls around the tundra collecting data used to study marine ecosystems.The small robot takes readings and collects data like a normal researcher, but his existence allows researchers to collect real-time information year round and minimize the impact their presence could have on the animals' lives. Researchers say the penguins seem to be getting along swimmingly with the robot. ""The really cool thing is if I as a human would try to get as close as ECHO, they would be running away,"" the Marine Animal Remote Sensing Lab's Daniel Zitterbart told Popular Science. ""We don't want to scare the animals. Our general aim is to do more science with less impact. And humans have much bigger impact on the animals than the robot actually has."""
20230725,foxnews,Our schools’ war on AI is a national security threat,"Since the beginning of the AI race, the United States has been working hard to stay ahead.&nbsp;But it is time to realize that America’s superiority is at risk. The key intertwined contributing factors include the broken U.S. education system and fear of job loss.&nbsp; To stop the American AI leadership erosion we must think and act differently. To change the future, we must first change our thinking. Recent surveys suggest that 61% of Americans feel that AI is a threat to humanity, and another 17% are unsure if it is or not! Clearly, then, it is not surprising that Americans are concerned about AI in education despite its benefits for empowering students and preserving global leadership.&nbsp;  American workers are afraid of job losses sensationalized in the media. Labor unions like screenwriters are following old habits of pushing back on technology. This is the same mindset that forced the migration of U.S. manufacturing to China in the ’70s. TEACHERS TAKE AI CONCERNS INTO THEIR OWN HANDS AMID WARNING TECH POSES ‘GREATEST THREAT' TO SCHOOLS The anticipated job changes are real across the globe. AI is quickly impacting knowledge workers like administrative employees and legal professionals and challenging the conventional role of many in other jobs. But the answer is not to avoid AI but to learn to work differently. The impact on the skills needed for tomorrow is also very real. But, again,&nbsp;the answer is not to avoid teaching it to the new generation in hopes that it will go away.&nbsp; The U.S. must transform its mindset and education system to implement AI-led programs that protect its economic and national security. The country should also help workers transition to a new world dominated by AI-powered jobs. The mindset must drives teachers to think and teach differently and students to learn and apply their capabilities differently. Only then will those students help America secure her global competitiveness.  America’s mindset toward AI, particularly in the classroom, undermines its ability to compete in the AI race. By including AI in public school curriculums and teaching kids how to focus on creativity and understand the ethical use of tools, China's Hong Kong is preparing upcoming generations to lead a world redefined by AI.&nbsp; America is training for the now. We are not teaching our youth how to create, innovate and take things to the next level. Instead, politicians are introducing legislation to keep AI away from kids, and college professors want written assessments and oral exams to avoid ""cheating"" with AI tools. The world’s AI-influenced future holds great promise for innovation, productivity and convenience. But the overburdened and outdated American education system must be redesigned to acknowledge and respond to this new reality.&nbsp; IN EDUCATION, ‘AI IS INEVITABLE,’ AND STUDENTS WHO DON'T USE IT WILL ‘BE AT A DISADVANTAGE’: AI FOUNDER  As financial returns have become the primary measure of institutional success, teacher shortages and crowded classrooms have become a nagging problem across the board. Simultaneously, underpaid teachers are reluctant and unprepared to change their teaching drastically to fit an unknown new world.&nbsp; Politics has entered classrooms and learning to improve and globally compete has replaced itself with learning to push a social causes, impacting education priorities. Additionally, both parties’ partisan views of AI in education prevent new consensus curriculums from being formed. America’s future can only be on solid footing if its education system is responsive to the changes in the world. Education about AI requires the way we teach to change. AI chatbots in education could teach children to read in months, be a cost-effective alternative to tutoring, and let teachers do their jobs better.&nbsp;  We must stop dictating the mechanics of learning and teach people the purpose of their studies. We must abandon teaching mathematical routines and formulas and focus on creativity and innovation. We have to focus on what is important to express and not be afraid of an AI machine writing it. We have to learn to use AI to make our kids smarter and prepared for a fast-evolving humanity. PERSONALIZED CHATBOT TUTORS WILL LIKELY REVOLUTIONIZE TRADITIONAL EDUCATION AND BENEFIT STUDENTS: AI EXPERT Hunting for food and collecting water used to be the standard way of providing for your family. We taught those skills to our children, but in modern societies, the supermarket does that job. Not long ago, personal computers and remote learning were considered a threat to education. Way before AI existed, people believed tradition and technology were in a fight to the death. That belief was not true, and this new disbelief in AI’s role in our future is not either. Children always find a way to cheat. We’ve survived the proliferation of calculators, spell checkers, and other innovations. In the process of change, the consequences that have resulted may not have appeared ideal, but the benefits have been required for humanity to evolve.  Without adequate education, children will be susceptible to deep fakes, scamming and other abuse. They’ll be ignorant about the world and lack the skills future employers will need. The real danger is that if we don't act now, in a few short years we won’t have the right leaders to operate in a hyper-competitive world. America will be stuck in the past while India, China and other nations dominate the world. No matter how behind in the AI race some countries may seem, technology moves quicker than humans do. AI can become the determining factor of success or ruin for an entire country. Ukraine's AI-assisted military tactics have been life-saving, but the Dutch Tax Authority’s algorithms have caused suicide and poverty, and other tools may have more extreme effects. America may be in the lead now, but her security and prosperity will always be at risk while competition stays alert and ambitious. CLICK HERE TO GET THE OPINION NEWSLETTER On the worldwide stage, the United States has no room for mistakes with AI. We must educate our youth or prepare for complete economic instability. Americans must get over the fear of AI. Teachers must learn to change and not be afraid of losing their jobs. Students must understand AI and know how to maneuver through the dangers and the opportunities it offers. To build a better future, in the words of President Lyndon B. Johnson, we have to endure the painful while focusing on building a new solid educational foundation for growth and prosperity. CLICK HERE TO GET THE FOX NEWS APP"
20230725,foxnews,A translator for your kids: How using AI as a 'parenting co-pilot' will help parents communicate better,"Helping kids do their homework, breaking down complex topics for toddlers and telling captivating bedtime stories are daily duties for parents, but one father said using an AI assistant has helped him save time and better understand his children. ""AI is an extraordinarily powerful new set of capabilities that parents can leverage and should leverage,"" said Dmitry Shapiro, founder of YouAI, an artificial intelligence task agent tool. ""What we have access to now in the form of these AIs is a thing that we can converse with, that has all of the knowledge that has ever been written down about parenting, that it's digested and learned, and can be our personal co-pilot."" Artificial intelligence in recent months has become a powerful tool across industries, helping doctors identify diseases earlier and assisting fast-food restaurants sell more burgers. It's also been controversial in some spheres like education, with some seeing it as harmful, while others view it as a powerful tool for students and teachers. New York Public Schools, for example, restricted using ChatGPT in the classroom earlier this year, but later reversed that decision. WHY MOM AND DAD SHOULD LEVERAGE AI AS A PARENTING TOOL:   WATCH MORE FOX NEWS DIGITAL ORIGINALS HERE Shapiro's YouAI has multiple custom chatbots designed for different parenting tasks such as generating custom bedtime stories, helping kids with homework and explaining complicated subjects to them. &nbsp; ""You can think of it as like a translator where you can say things to it in adult language and it can sort of then paraphrase it so that a 5-year-old or a 9-year-old or whatever can understand,"" Shapiro, a father of five, told Fox News. Parents should use AI as a ""personal parenting assistant that we can have at all times with us for all situations and be able to, in real-time, get the information we need to be able to help our children, engage with them, calm down their flare-ups or sort of anything else,"" he added.&nbsp; WHAT IS ARTIFICIAL INTELLIGENCE (AI)?  The founder also designed an AI version of Mr. Rogers that his children can chat with to calm them down and diffuse tantrums.&nbsp; But there's opposition to children accessing AI too early or without supervision.&nbsp; Snapchat recently introduced a chatbot feature called My AI to its over 775 million users, many of which are children and teens. Doctors have warned that Snapchat users seeking mental health support from My AI could receive fabricated information.&nbsp; WHAT IS CHATGPT?  In May, Sen. Rick Scott introduced the Artificial Intelligence Shield for Kids (ASK) Act, which would forbid companies from offering AI to children without parental consent. ""I think we need to have parents involved if their child’s going to see anything with AI technology,"" the Florida Republican told Fox News at the time. The bill was recommended to the Senate Committee on Commerce, Science, and Transportation for further review. CLICK HERE TO GET THE FOX NEWS APP Still, Shapiro is adamant about AI's benefits for children. AI is the most ""profoundly transformative"" parenting tool since ""perhaps the invention of print,"" Shapiro told Fox News.&nbsp; To watch the full interview with Shapiro, click here."
20230725,cnn,ChatGPT creator pulls AI detection tool due to ‘low rate of accuracy’,"Less than six months after ChatGPT-creator OpenAI unveiled an AI detection tool with the potential to help teachers and other professionals detect AI generated work, the company has pulled the feature. OpenAI quietly shut down the tool last week citing a “low rate of accuracy,” according to an update to the original company blog post announcing the feature.  “We are working to incorporate feedback and are currently researching more effective provenance techniques for text,” the company wrote in the update. OpenAI said it is also committed to helping “users to understand if audio or visual content is AI-generated.” The news may renew concerns about whether the companies behind a new crop of generative AI tools are equipped to build safeguards. It also comes as educators prepare for the first full school year with tools like ChatGPT publicly available. The sudden rise of ChatGPT quickly raised alarms among some educators late last year over the possibility that it could make it easier than ever for students to cheat on written work. Public schools in New York City and Seattle banned students and teachers from using ChatGPT on the district’s networks and devices. Some educators moved with remarkable speed to rethink their assignments in response to ChatGPT, even as it remained unclear how widespread use of the tool was among students and how harmful it could really be to learning. Against that backdrop, OpenAI announced the AI detection tool in February to allow users to check if an essay was written by a human or AI. The feature, which worked on English AI-generated text, was powered by a machine learning system that takes an input and assigns it to several categories. After pasting a body of text such as a school essay into the new tool, it gave one of five possible outcomes, ranging from “likely generated by AI” to “very unlikely.” But even on its launch day, OpenAI admitted the tool was “imperfect” and results should be “taken with a grain of salt.”  “We really don’t recommend taking this tool in isolation because we know that it can be wrong and will be wrong at times – much like using AI for any kind of assessment purposes,” Lama Ahmad, policy research director at OpenAI, told CNN at the time. While the tool might provide another reference point, such as comparing past examples of a student’s work and writing style, Ahmad said “teachers need to be really careful in how they include it in academic dishonesty decisions.” Although OpenAI may be shelving its tool for now, there are some alternatives on the market.  Other companies such as Turnitin have also rolled out AI plagiarism detection tools that could help teachers identify when assignments are written by the tool. Meanwhile, Princeton student Edward Tuan introduced a similar AI detection feature, called ZeroGPT."
20230221,cbsnews,The 5 best robot vacuums for pet hair in 2024,"It's spring, which means it's time think seriously about cleaning. To get rid of those pesky pet hairs that your dog or cat has managed to shed, we recommend tapping the power of tech. Some of the latest robot vacuums are designed specifically to pick up dirt, dust and pet hair from carpets and hard flooring -- without you having to expend any effort. The experts at CBS Essentials have found the best robot vacuums that specialize in tackling the hair your pets shed all over your carpet and floors. These handy robots also excel at sucking up allergy-inducing dust, pet dander and outdoor dirt. We even found robot vacuums smart enough to dodge dog poop and other obstacles.Best for pet hair overall: iRobot Roomba j7+ robot vacuumSmartest robot vacuum for pet hair: Samsung Jet Bot+ robot vacuum with Clean StationBest budget robot vacuum for pet hair: iRobot Roomba 694 robot vacuumBest robot vacuum for pet hair under $125: Lefant M210 robot vacuumBest robot vacuum and mop combo for pet hair: Roborock S8 Pro Ultra 	 Best robot vacuums for pet hair in 2024  If you're looking for a robot vacuum to suck up pet hair, dander and dirt, then check out these feature-packed options.      Best for pet hair overall: iRobot Roomba j7+ robot vacuum   The iRobot Roomba j7+ is designed with dog owners in mind. This smart vacuum includes iRobot's P.O.O.P. (Pet Owner Official Promise) guarantee. Your Roomba j7+ is guaranteed to avoid pet waste, or iRobot will replace your vacuum for free. This robot features a powerful three-stage cleaning system with iRobot's most powerful suction. It even uses an edge-sweeping brush to get into corners. The Roomba j7+ also features dual multi-surface rubber brushes that flex to adjust to different floor types. Best of all, they don't get tangled in pet hair. When it's finished cleaning, the device automatically empties into a base for easy dirt disposal. Just empty the cleaning station every 60 days.        The robot vacuum actively avoids pet messes and obstacles such as water bowls. The vacuum's self-emptying capabilities means you don't need to constantly empty a dustbin, while the three-stage cleaning system provides a thorough clean of floors and carpets.  Smartest robot vacuum for pet hair: Samsung Jet Bot AI+ robot vacuum The Samsung Jet Bot AI+ robot vacuum uses sensors and artificial intelligence to map cleaning zones. It automatically distinguishes hard floors from carpets to use the proper suction, up to five watts. It comes complete with a cleaning station with five-layer HEPA filtration that traps 99.999% of fine dust. Pet owners will appreciate the self-cleaning extractors that break hairs into smaller pieces, so they don't get tangled around your robot vacuum's rollers. It offers targeted cleaning, allowing users to select which areas of their home the robot should focus on. Meanwhile, LiDAR sensors create accurate room maps for the Jet Bot AI+ to navigate, so there's no need to worry about your robotic vacuum going to places it shouldn't. The robot works in conjunction with the Samsung SmartThings app, just like all of the company's other smart products.One great feature is that the robot's front camera can share real-time video by streaming it to your mobile phone. The robot offers up to 90 minutes of cleaning time. Best budget robot vacuum for pet hair: iRobot Roomba 694The budget-minded Roomba 694 is Wi-Fi-enabled. Control the vacuum with your connected smartphone or tablet via the iRobot Home app. The Roomba 694 has a 90-minute run time before it automatically docks and recharges. And it offers personalized cleaning options, all selectable using the mobile app.The dual multi-surface brush is designed to clean a variety of floor types, which is great if you have carpet, hardwood and laminate. While it's doing its thing, the vacuum's auto-adjust cleaning head automatically adapts its height to clean carpets and hard floors. The robot is equipped with a full suite of advanced sensors to help it navigate under and around furniture and along edges. The cliff-detect feature keeps it from falling down stairs.The three-stage cleaning system and dual multi-surface brushes grab dirt from carpets and hard floors alike, while a separate edge-sweeping brush takes care of corners and edges. If you need 50% more suction power, be sure to check out the Roomba Combo i5+ ($489). With this more advanced model, the patented-dirt detecting technology allows the Roomba Combo i5+ robot to detect dirtier areas of your home and clean them more thoroughly when the vacuum bin is installed. It also handles wet floor mopping. Best robot vacuum under $125: Lefant M210 Lefant's M210 robot vac features built-in, anti-collision, infrared sensors, so it won't bang into its surroundings or knock over your pet's water bowl. Plus, this robot vacuum features strong suction power to easily pick up pet hair. It also detects ""stuck areas,"" and adjusts its cleaning path automatically. Download the Lefant app to pair the Wi-Fi-enabled vaccum with your smartphone or tablet to control the robot remotely.   Thanks to its 11-inch diameter and 2.99-inch height, this robot works easily under or around beds, sofas and other furniture to provide a more thorough cleaning. It's powered by a strong digital motor that offers impressive suction power, especially for the money. The unique brushless suction ensures that pet hair and dirt go into the dustbin easily. Unlike robot vacuums that rely on traditional roller brushes, this one does not get tangled in hair.The Lefant M210 is a more-than-affordable robot vacuum option for pet households.  Using the app, you simply set up a schedule and a type of cleaning, and the robot will handle the rest. Plus, this robot accepts voice commands using Amazon Alexa or Google Assistant.Best robot vacuum and mop combo for pet hair: Roborock S8 Pro UltraAs part of the Roborock Ultra series, this robot is ready to tackle dirty carpets as a vacuum and then instantly switch to being a high-powered mop for hard floors. With its all-in-one docking system, the S8 Pro Ultra can automatically complete the mop washing and drying process, preventing mold growth and unpleasant odors. The dock even cleans itself and refills the robot water tank for you, extending its mopping range to up to 3,230 square feet.Meanwhile, the automatic, self-emptying dust bag holds up to seven weeks' worth of dust. The redesigned dual rubber brush system cleans with more effectiveness than ever, and promises fewer hair-tangling disasters. The more powerful 6000Pa suction drives the robot vacuum to work faster to debris, hair, dust and more from hard floors and carpets. The robot's battery charges from empty to full in just four hours and then provides up to 180 minutes of continuous cleaning time. With 3D structured light and infrared image technology, the Roborock S8 Pro Ultra is smart enough to identify objects, determine their size and location, and then bypass them in both bright and dark environments. Thanks to LiDAR navigation and 3D mapping, detailed maps are generated for more accurate and customized cleaning. Meanwhile, the Roborock App offers you total control over the robot. Amazon Alexa, Google Home and Siri Shortcuts support let you command your robot with the power of your voice, too.What pet owners should look for in a robot vacuumPet owners should never settle on a subpar robot vacuum. Entry-level robot vacuums usually lack features and the suction power needed by households with pets. Seek out a robot vac with high-efficiency filters that trap dog and cat allergens. And if your pet is prone to accidents, consider a vacuum with object detection that can avoid pet messes. You should also keep an eye out for brush rollers with anti-tangling features, especially if your pet is a heavy shedder. You'll also want a robot vacuum with a cleaning base, if you can afford the upgrade. Unlike older robot vacuums that need to be emptied once every couple of days, a robot vacuum with a cleaning base can go for weeks before being emptied. "
20230221,cbsnews,Vanderbilt University apologizes for using ChatGPT to write letter on MSU shooting,"Vanderbilt University is drawing heat from its student body for using ChatGPT to generate a communitywide letter addressing the recent mass shooting at Michigan State University. The office of Equity, Diversity and Inclusion (EDI) at Vanderbilt's Peabody College of Education last week issued a statement that many have criticized as impersonal and lacking empathy. ""The recent Michigan shootings are a tragic reminder of the importance of taking care of each other, particularly in the context of creating inclusive environments,"" the letter's opening line read. ""As members of the Peabody campus community, we must reflect on the impact of such an event and take steps to ensure that we are doing our best to create a safe and inclusive environment for all.""A paragraph further down began with a sentence that struck community members as generic.""Another important aspect of creating an inclusive environment is to promote a culture of respect and understanding,"" the letter stated. ""This means valuing the diversity of experiences, perspectives, and identities on our campus, and actively working to create a space where everyone feels welcomed and supported.""The message continued to tout the merits of creating ""a safe and inclusive environment on campus."" In small font, just above the signature line, a disclaimer appeared, indicating that the entire statement was a ""paraphrase from OpenAI's ChatGPT AI language model.""""Sick and twisted irony""Students and community members blasted the university for the misstep, accusing administrators of orchestrating a public relations stunt. Vanderbilt senior Laith Kayat, whose sister attends MSU, called the use of ChatGPT ""disgusting,"" Vanderbilt's student newspaper, the Vanderbilt Hustler, reported. ""There is a sick and twisted irony to making a computer write your message about community and togetherness because you can't be bothered to reflect on it yourself,"" Kayat told The Hustler.                          ""[Administrators] only care about perception and their institutional politics of saving face.""Kayat called on administrators to do better than rely on a robot to lead the university.Administrators never reviewed letterOn Friday, a day after the initial letter was issued, Nicole M. Joseph, associate dean for EDI, sent a follow-up email saying her office had made an error in judgement by using ChatGPT to reflect on the MSU shooting.""As with all new technologies that affect higher education, this moment gives us all an opportunity to reflect on what we know and what we still must learn about AI,"" Joseph's follow-up letter read, according to the Vanderbilt Hustler. Peabody College Dean Camilla Benbow said the controversial missive was never reviewed by her office before it was distributed. ""The development and distribution of the initial email did not follow Peabody's normal processes providing for multiple layers of review before being sent,"" she said in a statement to CBS MoneyWatch. The dean's office is conducting an investigation into the incident, according to Benbow. In the meantime, Associate Dean Joseph and Assistant Dean Hasina Mohyuddin will be on temporary leave, she said. ""I am also deeply troubled that a communication from my administration so missed the crucial need for personal connection and empathy during a time of tragedy,"" she added in her statement. Poor judgmentThere are scenarios in which ChatGPT can be highly effective at drafting communications. Some chief executives have come to rely on the tool to write speeches and act as a ""thought partner."" Debates are underway about the kinds of jobs the technology will eventually eliminate. But for now, the software lacks a core feature that makes humans unique: judgment. ChatGPT can summarize data and generate text, but doesn't possess the emotional intelligence of humans, according to Columbia Business School professor Oded Netzer. Understanding the ""why"" behind facts and figures and expressing genuine emotion are still ""the types of tasks that require judgment and that humans are still very valuable in,"" he said."
20230221,foxnews,Microsoft imposes limits on Bing chatbot after multiple incidents of inappropriate behavior,"Chatbots are quickly becoming the way of the future, yet they still have issues.&nbsp; Microsoft is the latest tech company with problems with its new Bing search engine, which uses the same technology as the viral OpenAI chatbot ChatGPT. &nbsp; The technology is meant to answer people as a human would, though now Microsoft is putting caps on its capabilities.&nbsp; CLICK TO GET KURT’S CYBERGUY NEWSLETTER WITH QUICK TIPS, TECH REVIEWS, SECURITY ALERTS AND EASY HOW-TO’S TO MAKE YOU SMARTER&nbsp; What is Microsoft Bing?  Microsoft Bing is a web search engine that is owned and operated by Microsoft (pretty much their own version of Google). It works just like any other search engine, where you can type in questions and get answers, including articles, images, videos, shopping, maps and more.&nbsp; Now, Microsoft has introduced a new Chat option where you can ask Bing a question, and it will give a more exact, typed-out answer rather than feeding you multiple articles for you to read on the topic.&nbsp; For example, if you're looking to make a three-course meal with no nuts or seafood, you can simply type, ""I need to throw a dinner party for six people who don't eat nuts or seafood. Can you suggest a three-course menu?"" and the search engine will give you a list of options you can make with suggestions for appetizers, main courses, and dessert.&nbsp; SNEAKY LEGIT WAY TO SCORE FREE VIRTUAL TECH SUPPORT  Can anyone use Microsoft Bing?  Anyone can use Microsoft Bing if they join what Microsoft calls ""the new Bing."" You can request access by going to Bing.com and selecting ""Join the waitlist."" &nbsp; When you have cleared the waitlist, you will receive an email letting you know that you can now access the new Bing at Bing.com. Once you have access, you can start typing in your usual search box, and Bing will give you detailed answers.&nbsp;  CONGRESS BLOCKS FUNDING REQUEST FOR MICROSOFT HEADSETS AFTER TESTING CONCERNS: REPORT What issues has the new Bing been having?  It has been reported that the new Bing has been having some malfunctions since its initial release. Many new users got excited and wanted to see how long they could converse back and forth with the search engine, and these longer conversations began to overwhelm it.&nbsp; Some people posted screenshots of their conversations to social media, showing how the new Bing was convinced that the year was 2022 and not 2023 and would gaslight users by saying things like ""Please don't doubt me"" and ""I'm Bing, I know the date.""&nbsp; Other people have found the chatbot's answers amusing. However, since Microsoft is investing around $10 billion in this new way of communication, the company is now setting limits to make sure that it actually works as it is supposed to.&nbsp;  WINDOWS GOTCHAS: HOW TO AVOID THE TOP 5 MOST COMMON MISTAKES What kind of limits is Microsoft implementing to access the new Bing?  Microsoft noticed that the new Bing would only act inappropriately when the conversations with its users were carried on for too long. Because of this, the tech company is implementing limits on how many questions you can ask.&nbsp; The new Bing can now answer five questions per session and 50 questions in a day. This means that you can ask it 5 questions on the same topic before you have to switch topics.&nbsp;&nbsp; The company says that the chatbot is still very much a work in progress and that current users are helping them to improve the technology so that it can be more reliable in the future.&nbsp; For some insight into AI, I recently interviewed ChatGPT as if it were a human; here's what the AI had to say that gave me the chills.&nbsp; Have you tried the new ChatGPT or Microsoft Bing yet? We want to hear about your experience.&nbsp; CLICK HERE TO GET THE FOX NEWS APP For more of my tips, subscribe to my free CyberGuy Report Newsletter by clicking the ""Free newsletter"" link at the top of my website.&nbsp; Copyright 2023 CyberGuy.com. All rights reserved. CyberGuy.com articles and content may contain affiliate links that earn a commission when purchases are made.&nbsp;"
20240522,foxnews,South Korea urges global cooperation for AI development at Seoul summit,"South Korea's science and information technology minister said on Wednesday the world must cooperate to ensure the successful development of AI, as a global summit on the rapidly evolving technology hosted by his country wrapped up. The AI summit in Seoul, which is being co-hosted with Britain, discussed concerns such as job security, copyright and inequality on Wednesday, after 16 tech companies signed a voluntary agreement to develop AI safely a day earlier. A separate pledge was signed on Wednesday by 14 companies including Alphabet's Google, Microsoft, OpenAI and six Korean companies to use methods such as watermarking to help identify AI-generated content, as well as ensure job creation and help for socially vulnerable groups. FOX NEWS AI NEWSLETTER: HOW ARTIFICIAL INTELLIGENCE IS RESHAPING MODERN WARFARE ""Cooperation is not an option, it is a necessity,"" Lee Jong-Ho, South Korea's Minister of Science and ICT (information and communication technologies), said in an interview with Reuters.  ""The Seoul summit has further shaped AI safety talks and added discussions about innovation and inclusivity,"" Lee said, adding he expects discussions at the next summit to include more collaboration on AI safety institutes. The first global AI summit was held in Britain in November, and the next in-person gathering is due to take place in France, likely in 2025. Ministers and officials from multiple countries discussed on Wednesday cooperation between state-backed AI safety institutes to help regulate the technology. CLICK HERE TO GET THE FOX NEWS APP AI experts welcomed the steps made so far to start regulating the technology, though some said rules needed to be enforced. ""We need to move past voluntary... the people affected should be setting the rules via governments,"" said Francine Bennett, Director at the AI-focused Ada Lovelace Institute. AI services should be proven to meet obligatory safety standards before hitting the market, so companies equate safety with profit and stave off any potential public backlash from unexpected harm, said Max Tegmark, President of Future of Life Institute, an organisation vocal about AI systems' risks. South Korean science minister Lee said that laws tended to lag behind the speed of advancement in technologies like AI. ""But for safe use by the public, there needs to be flexible laws and regulations in place."""
20230622,foxnews,Missing Titanic submarine: Canadian underwater robot searches ocean floor as oxygen levels dwindle,"The U.S. Coast Guard announced Thursday that the Canadian vessel Horizon Arctic deployed a remotely operated vehicle (ROV) ""that has reached the sea floor and began its search"" for the missing OceanGate Titan submarine.&nbsp; It is the first time during the search that a vessel is combing the floor of the Atlantic Ocean for the missing vessel and its five passengers.&nbsp; Previous search efforts have involved the use of aircraft and sonar.&nbsp; ""The French vessel L'Atalante has just deployed their ROV,"" the Coast Guard also said.&nbsp; LIVE UPDATES: SEARCH FOR MISSING OCEANGATE TITAN SUBMARINE&nbsp;   The Titan submarine vanished Sunday morning with five people on board: OceanGate CEO Stockton Rush, French mariner Paul-Henry Nargeolet, British businessman and explorer Hamish Harding, Pakistani businessman Shahzada Dawood and his son Sulaiman Dawood.&nbsp; The oxygen inside the Titan is estimated by the Coast Guard to run out some time Thursday morning.&nbsp; In a statement issued Wednesday night, the Coast Guard said the sub ""was launched at 8 a.m. EDT [Sunday] and expected to resurface at 3 p.m., but one hour and 45 minutes into their dive, they lost contact with the Polar Prince.""&nbsp; On OceanGate's website, it lists the Titan sub as having 96 hours of life support for a crew of five passengers. &nbsp; The Coast Guard also said Wednesday night that ""[u]nderwater sounds have been detected in the search area, resulting in the redirection of remotely operated vehicle (ROV) operations to explore the origin. &nbsp; ""These recordings have been shared with the U.S. Navy for analysis to help guide future search efforts,"" the Coast Guard added.&nbsp; DEEP-SEA EXPERT WORRIES ‘BANGING’ COULD BE ’OVERLY OPTIMISTIC’ AS TITANIC SUB MAY HAVE ALREADY RUN OUT OF AIR&nbsp;  The source of these sounds has not been confirmed.&nbsp; The Coast Guard said an area twice the size of Connecticut has been searched so far, 900 nautical miles east of Cape Cod, Massachusetts.&nbsp; The cause of the sub’s disappearance remains unknown and more ships have been arriving throughout the week at the search site.&nbsp; As of Wednesday afternoon, the Coast Guard was categorizing the international response as a search and rescue mission.&nbsp;   CLICK HERE TO GET THE FOX NEWS APP&nbsp; ""We are smack dab in the middle of search and rescue, and we'll continue to put every available asset that we have in an effort to find the Titan and the crew members,"" U.S. Coast Guard Capt. Jamie Frederick told reporters.&nbsp; ""I don't know whether it's operable or whether it's sitting on the ocean floor or whether it's in the sea column or whether it's in the surface. You know, it's all speculation,"" Frederick later said. ""And we're just not in the business of speculation. We're in the business of searching, and we're putting everything we can with the data.""&nbsp;"
20230622,nbcnews,‘It’s horrifying’: Discord CEO on child abuse issues after NBC News investigation ,"Discord CEO Jason Citron said Thursday that he found reports of  child exploitation on the popular chat platform ""horrifying"" and that Discord took the issue ""very seriously."" His comments, at Bloomberg’s Tech Summit in San Francisco, came the day after NBC News published an investigation into the issue. “As a parent, it’s horrifying."" Citron said in response to questions from Bloomberg journalist Emily Chang. ""We take this stuff very seriously.” Citron noted that Discord employs a dedicated child safety team that is tasked with trying to prevent exploitation on the platform “in a way that respects the privacy of all the people who are not doing these things.” The investigation revealed that since the platform's creation in 2015, at least 35 child abduction, grooming, or exploitation prosecutions involved communications via Discord, and 165 child sexual abuse material prosecutions involved the platform. Additionally, NBC News identified hundreds of active Discord servers promoting child exploitation. “What we see is only the tip of the iceberg,” said Stephen Sauer, the director of the tipline at the Canadian Centre for Child Protection.  Like many social media companies, Discord scans uploaded images and videos and compares them to a known database of child sexual abuse material, but it leaves most other moderation to communities themselves. Discord has clearly stated that it is not proactively scanning most messages that are posted in its communities. Citron said artificial intelligence could help solve some issues around child exploitation. ""One of the challenges I think that all of the folks in our industry have is that we have so many things happening at scale on the platform and it's so hard to sort of identify things,"" he said. John Redgrave, vice president of trust and safety at Discord, told NBC News that the company was working with THORN, a company devoted to building technology solutions to detect and prevent child exploitation, on a model that could detect grooming behavior. AI has also been criticized, however, for potentially aggravating child safety issues.  This month, the FBI warned that adults were using AI to generate manipulated images of children for the purpose of sextortion, blackmailing minors with the images for even more sexual content or money."
