Date,NewsPaper,Headline,MainText,Sentiment_Score,Sentiment_Magnitude
20240522,foxnews,South Korea urges global cooperation for AI development at Seoul summit,"South Korea's science and information technology minister said on Wednesday the world must cooperate to ensure the successful development of AI, as a global summit on the rapidly evolving technology hosted by his country wrapped up. The AI summit in Seoul, which is being co-hosted with Britain, discussed concerns such as job security, copyright and inequality on Wednesday, after 16 tech companies signed a voluntary agreement to develop AI safely a day earlier. A separate pledge was signed on Wednesday by 14 companies including Alphabet's Google, Microsoft, OpenAI and six Korean companies to use methods such as watermarking to help identify AI-generated content, as well as ensure job creation and help for socially vulnerable groups. FOX NEWS AI NEWSLETTER: HOW ARTIFICIAL INTELLIGENCE IS RESHAPING MODERN WARFARE ""Cooperation is not an option, it is a necessity,"" Lee Jong-Ho, South Korea's Minister of Science and ICT (information and communication technologies), said in an interview with Reuters.  ""The Seoul summit has further shaped AI safety talks and added discussions about innovation and inclusivity,"" Lee said, adding he expects discussions at the next summit to include more collaboration on AI safety institutes. The first global AI summit was held in Britain in November, and the next in-person gathering is due to take place in France, likely in 2025. Ministers and officials from multiple countries discussed on Wednesday cooperation between state-backed AI safety institutes to help regulate the technology. CLICK HERE TO GET THE FOX NEWS APP AI experts welcomed the steps made so far to start regulating the technology, though some said rules needed to be enforced. ""We need to move past voluntary... the people affected should be setting the rules via governments,"" said Francine Bennett, Director at the AI-focused Ada Lovelace Institute. AI services should be proven to meet obligatory safety standards before hitting the market, so companies equate safety with profit and stave off any potential public backlash from unexpected harm, said Max Tegmark, President of Future of Life Institute, an organisation vocal about AI systems' risks. South Korean science minister Lee said that laws tended to lag behind the speed of advancement in technologies like AI. ""But for safe use by the public, there needs to be flexible laws and regulations in place.""",0.08399999886751175,4.38100004196167
20240511,foxnews,"Artificial intelligence not always helpful for reducing doctor burnout, studies suggest","The use of generative AI may not be helpful in reducing burnout in health care, new research suggests. Previous research indicated that increased time spent using electronic health record (EHR) systems and handling administrative responsibilities has been a burden on doctors. So some people had heralded artificial intelligence as a potential solution — yet recent investigations by U.S. health systems found that large language models (LLMs) did not simplify clinicians’ day-to-day responsibilities. WHAT IS ARTIFICIAL INTELLIGENCE (AI)? For instance, a 2023 observational study at Brigham and Women’s Hospital in Boston, Massachusetts, examined the impact of using AI for electronic patient messaging. Researchers prompted a large language model to respond to simulated questions from cancer patients — then compared its output to responses from six board-certified radiation oncologists. Medical professionals then edited the AI-generated responses into ""clinically acceptable"" answers to send to patients. The study, published in The Lancet Digital Health, found that the LLM drafts posed ""a risk of severe harm in 11 of 156 survey responses, and death in one survey response."" ""The majority of harmful responses were due to incorrectly determining or conveying the acuity of the scenario and recommended action,"" the researchers wrote. FIRST-EVER AUGMENTED REALITY ABDOMINAL SURGERY PERFORMED IN CHILE: ‘A REVOLUTION’ The researchers concluded that LLM-assisted results (those edited by physicians) displayed a ""best-of-both-worlds scenario"" — reducing physician workload while ensuring that patients get accurate information. ""These early findings … indicate the need to thoroughly evaluate LLMs in their intended clinical contexts, reflecting the precise task and level of human oversight,"" the study concluded. Medical billing codes Another study from New York’s Mount Sinai Health System evaluated four different types of large language models for performance and error patterns when querying medical billing codes. GOOGLE BARD TRANSITIONS TO GEMINI: WHAT TO KNOW ABOUT THE AI UPGRADE The research, published in the journal NEJM AI, found that all tested LLMs performed poorly on medical code querying, ""often generating codes conveying imprecise or fabricated information.""&nbsp; The study concluded, ""LLMs are not appropriate for use on medical coding tasks without additional research."" The study was funded by the AGA Research Foundation and National Institutes of Health (NIH). Researchers noted that although these models can ""approximate the meaning of many codes,"" they also ""display an unacceptable lack of precision and a high propensity for falsifying codes.""&nbsp; ""This has significant implications for billing, clinical decision-making, quality improvement, research and health policy,"" the researchers wrote. Patient messages and physicians' time A third JAMA Network-published study, from the University of California San Diego School of Medicine, evaluated AI-drafted replies to patient messages and physicians' time spent editing them. CHATGPT FOUND BY STUDY TO SPREAD INACCURACIES WHEN ANSWERING MEDICATION QUESTIONS The assumption was that generative AI drafts would lessen a physician's time spent doing these tasks — yet the results showed otherwise. ""Generative AI-drafted replies were associated with significantly increased read time, no change in reply time, significantly increased reply length and [only] some perceived benefits,"" the study found. Researchers suggested that",-0.13899999856948853,6.4029998779296875
20240523,nbcnews,Arizona lawmaker uses ChatGPT to help craft legislation to combat deepfakes,"PHOENIX — A Republican member of the Arizona House used ChatGPT to help craft legislation on artificial intelligence-driven impersonations, which was signed into law by Democratic Gov. Katie Hobbs earlier this week. State Rep. Alex Kolodin used the AI software to help define “digital impersonation” in Arizona’s new law, which aims to regulate deepfake technology. House Bill 2394, which Hobbs signed into law Tuesday, gives Arizona politicians and other residents the ability to get a court order declaring that the person in the deepfake is not them. It comes in the wake of a broader national discussion over digital impersonations. On Monday, actor Scarlett Johansson said that artificial intelligence company OpenAI used an “eerily similar” voice to hers for its new chatbot despite her having declined the company’s request for her to provide her voice. OpenAI announced it would stop using that voice, claiming ""it was never intended to resemble"" Johansson's. Meanwhile, more states are introducing and passing legislation to deal with deepfakes ahead of the 2024 election, amid broad concern over the effect of AI-driven disinformation. “I used it to write the part of the bill that had to do with defining what a deepfake was,” Kolodin said on his use of the software in the legislative process. “I was really struggling with the technical aspects of how to define what a deepfake was. So I thought to myself, ‘Well, why not ask the subject matter expert, ChatGPT?’” Kolodin said. The legislator from Maricopa County said he “uploaded the draft of the bill that I was working on and said, you know, please, please put a subparagraph in with that definition, and it spit out a subparagraph of that definition.” “There’s also a robust process in the Legislature,” Kolodin continued. “If ChatGPT had effed up some of the language or did something that would have been harmful, I would have spotted it, one of the 10 stakeholder groups that worked on or looked at this bill, the ACLU would have spotted, the broadcasters association would have spotted it, it would have got brought out in committee testimony.” But Kolodin said that portion of the bill fared better than other parts that were written by humans. “In fact, the portion of the bill that ChatGPT wrote was probably one of the least amended portions,” he said. He argues that any shortcomings associated with using ChatGPT to write part of a law would also be present if humans take the reins. Kolodin said he didn’t see any pitfalls “that I don’t also see with relying on legislative attorneys to draft up legislation.” Kolodin noted that he used ChatGPT sparingly in the process, employing it for a technical definition of “digital impersonation” while leaning on his experience as a lawyer and politician as well as the legislative process. A representative for the governor’s office confirmed that Hobbs wasn’t aware Kolodin had used ChatGPT to help draft the bill she signed into law. That was an omission Kolodin admits was by design.",-0.06400000303983688,5.313000202178955
20240523,foxnews,Scarlett Johansson AI controversy takes turn as agent says another actress was hired for ChatGPT voice: report,"New revelations from an agent for the actress who voiced ""Sky"" for ChatGPT have thrown a twist into the public dispute between Scarlett Johansson and OpenAI.&nbsp; Johansson, an international superstar known for her roles in ""Avengers"" and ""Her,"" accused the artificial intelligence company of imitating her voice for ChatGPT after she turned down an offer from CEO Sam Altman to be a human voice featured in the AI chatbot's Voice Mode. But the agent for a different actress who landed the role says her client was never asked to imitate Johansson's voice, according to The Washington Post. The actress' agent said neither Johansson nor the 2013 movie ""Her"" — in which Johansson voices a virtual AI assistant — was mentioned when her client auditioned for ChatGPT. The agent also said her client was hired to create the voice for ""Sky"" months before Altman reached out to Johansson, the Post reported. The agent told the Post the name ""Sky"" was chosen to ""signal a cool, airy and pleasant sound,"" the report said. Audio recordings of the actress' voice test sounded identical to the AI-generated SKy voice, the paper reported. SCARLETT JOHANSSON ACCUSES OPEN AI OF PLAGIARIZING VOICE: ‘SHOCKED’ AND ‘IN DISBELIEF’ Johansson released a statement Monday that said Altman contacted her in September about possibly being the voice for ChatGPT. She claimed that he had suggested her ""comforting"" voice ""could bridge the gap between tech companies and creatives"" and help with the ""seismic shift concerning humans and Al."" Though she rejected the offer after ""much consideration and for personal reasons,"" Johansson was furious after several users commented that the ""Sky"" voice system resembled her work in ""Her.""&nbsp; ""When I heard the released demo, I was shocked, angered and in disbelief that Mr. Altman would pursue a voice that sounded so eerily similar to mine that my closest friends and news outlets could not tell the difference. Mr. Altman even insinuated that the similarity was intentional, tweeting a single word ‘her’ - a reference to the film in which I voiced a chat system, Samantha, who forms an intimate relationship with a human,"" the statement read. SNL'S' COLIN JOST FORCED TO CRACK JOKE ABOUT WIFE SCARLETT JOHANSSON'S BODY ON 'WEEKEND UPDATE' Johansson revealed she had hired legal counsel for a potential lawsuit against OpenAI and suggested that her lawyer's demands for an explanation had resulted in OpenAI taking down the ""Sky"" voice on Sunday. In a statement to Fox News Digital, Altman denied that ""Sky"" was intended to resemble Johansson's voice.&nbsp; ""We cast the voice actor behind Sky’s voice before any outreach to Ms. Johansson. Out of respect for Ms. Johansson, we have paused using Sky’s voice in our products. We are sorry to Ms. Johansson that we didn’t communicate better,"" Altman said.&nbsp; SCARLETT JOHANSSON TACKLES AI IN LEGAL SHOWDOWN AGAINST APP THAT USED HER LIKENESS, VOICE IN AD Joanne Jang, a product lead at OpenAi, told The Washington Post that Altman was on a world tour during the casting process",-0.2370000034570694,7.40500020980835
20240523,foxnews,"New Hampshire political consultant behind AI-powered Biden robocalls hit with 24 criminal charges, $6M fine","The New Hampshire political consultant behind robocalls mimicking President Biden is now facing 24 criminal charges, 13 of which are felony counts. Steve Kramer admitted to commissioning robocalls that used artificial intelligence to generate a voice similar to President Biden encouraging recipients not to participate in the primary. The Federal Communications Commission also announced $6 million in fines against Kramer. ""It’s important that you save your vote for the November election,"" the illicit calls stated, according to New Hampshire Attorney General John Formella. The calls added, ""Your vote makes a difference in November, not this Tuesday.""&nbsp; NEW HAMPSHIRE INVESTIGATING FAKE BIDEN ROBOCALL TELLING VOTERS NOT TO PARTICIPATE IN TUESDAY'S PRIMARY  ""After we received multiple reports and complaints on the day these calls were made and the day after these calls were made, my office immediately opened an investigation,"" Formella said. He described how his office's Election Law Unit&nbsp;worked with the Anti-Robocall Multistate Litigation Task Force, a bipartisan task force made up of 50 state attorneys general and the Federal Communications Commission Enforcement Bureau.&nbsp; Kramer previously told local outlet News 9 he produced the phone calls as a stunt to demonstrate the need to regulate AI technology. NEW HAMPSHIRE AG TRACES ROBOCALLS WITH 'AI-GENERATED CLONE' OF BIDEN'S VOICE BACK TO TEXAS-BASED COMPANIES  ""Maybe I’m a villain today, but I think, in the end, we get a better country and better democracy because of what I’ve done, deliberately,"" Kramer previously said of the investigation. The New Hampshire robocalls sparked immediate action in outlawing deep fakes impersonating political candidates. The FCC ruled the practice illegal in February.&nbsp; CLICK HERE TO GET THE FOX NEWS APP&nbsp;  With the unanimous adoption of a ruling that recognizes calls made with AI-generated voices as ""artificial"" under the Telephone Consumer Protection Act (TCPA), a 1991 law restricting junk calls that use artificial and prerecorded voice messages, the FCC said it was giving state attorneys general new tools to go after those responsible for voice-cloning scams.&nbsp; WHAT IS ARTIFICIAL INTELLIGENCE (AI)? ""Bad actors are using AI-generated voices in unsolicited robocalls to extort vulnerable family members, imitate celebrities and misinform voters. We’re putting the fraudsters behind these robocalls on notice,"" FCC Chairwoman Jessica Rosenworcel said in a statement. ""State Attorneys General will now have new tools to crack down on these scams and ensure the public is protected from fraud and misinformation."" Fox News' Danielle Wallace and The Associated Press contributed to this report.",-0.1860000044107437,6.789999961853027
20240513,foxnews,Air Force AI dogfight means tech could replace Maverick vs. China,"Fulfilling a bold promise to the Senate, Secretary of the Air Force Frank Kendall put himself in the cockpit and let AI take over and fly an F-16 through an hour of aerial engagements and dogfights near Edwards Air Force Base, California. &nbsp; There’s just one reason Kendall, age 74, a West Point graduate and career Army officer, took that flight.&nbsp; Deterring China. America’s top priority right now is to make sure the U.S., not China, leads in AI. The U.S. Air Force just took a big step in the right direction. &nbsp; CHINA COULD 'OVERWHELM' US MILITARY BASES AS BIDEN SHOWS 'ALARMING LACK OF URGENCY': HOUSE COMMITTEE CHAIR Not that it wasn’t fun. Judging from the big smile on Kendall’s face, it was a heck of a flight. &nbsp; To be clear, the highly modified F-16 known as the X-62 Vista was a two-seat version with a highly experienced pilot in the back seat. The take-off and landing were hand-flown. &nbsp; Kendall in the Vista F-16 flew to the restricted airspace training ranges east of Bakersfield and west of the Nevada border. There, pilots can go supersonic, carry out simulated bombing runs, and of course, dogfight. Once the exercise began, another F-16 playing the opponent would try to gain position advantage on the Vista. Kendall and the backseat pilot were basically spectators, watching cockpit instruments as the AI agents gave the control inputs and made the tactical decisions. &nbsp; ""We turn the automation on and let it control the airplane for some period of time,"" Kendall said, for ""a minute or two. Then you turn it back off.""&nbsp; Just let me add, a minute or two is an eternity in air combat. Korean War jet aces like Capt. Joseph McConnell shot down multiple enemy MiGs in seconds. &nbsp; While the AI was flying, the horizon tilted back and forth as it fought. The F-16 bubble canopy gives almost a 360-degree view and good visibility under the plane. Kendall got quite a view.&nbsp; I’m impressed that Kendall was keen to let an AI agent yank and bank him through combat maneuvers pulling five times the force of gravity. In my experience in one F-16 wargame flight in Alaska, you can take the G force loads as they bear down and scrunch your body as the plane turns fast. It’s the unloading of Gs that gives you the out-of-control, freefall feeling. &nbsp; Of course, pulling up to 9Gs is just another day at the office for F-16 test pilots. They maneuver to win; it’s dramatic, but it’s basically a tactic. Kendall’s flight suggests the days of pulling Gs are coming to a close. &nbsp; This was no spontaneous joyride. Granted, America’s top fighters already have a lot of automation in their flight controls and tactical systems. The F-16 was born fly-by-wire; it’s actually slightly unstable in flight without computer guidance. &nbsp; This special F-16 has been flying AI test sorties since late 2022. A rectangular component behind the cockpit contains",0.22300000488758087,12.784000396728516
20240502,foxnews,AI expert: ChatGPT prompts you’ll wish you knew sooner,"ChatGPT has changed my life — and yours, even if you don’t use it as much as I do. You’ve probably noticed the new AI search bar in all the Meta apps, including Facebook and Instagram. It won’t be long before all your most-used apps and services integrate chatbots. (Yes, I’m sure the folks at Google are quaking in their search boots.) Win an iPhone 15 worth $799! I'm giving one away to someone who tries my free daily tech newsletter.&nbsp;Enter to win now while you’re thinking about it. WHAT IS CHATGPT? Don’t wait to get comfortable with AI. Try out a few of these prompts and flex your chatbot muscles. You’ll see just how easy they are to use. To save you time Recently, I uploaded a commercial building's rent roll, profit and loss statement, and comps for the area. I asked ChatGPT to analyze the data and see if it’s a good investment. Sure, I know how to do that math myself, but it would have taken 30 minutes. No joke, it took me longer to upload the documents than it did for ChatGPT to come up with the answers — about 30 seconds. The best part is it laid out the calculations and reasoning, so I could analyze them myself and double-check its work. If you don’t get that with your answer, you can always ask something like, ""How did you make that decision?"" or ""Tell me how you got that answer."" To make a decision when you can’t There’s a term for this: Decision fatigue. Sometimes, you’ve had to pick so many things in one week that you just can’t do it again. Try these: To help you do something complex Say you’re an HR manager and must create an employee guide from scratch. That’s a heck of a lot of work, and you’d likely end up heading to a search engine to see where to begin. A chatbot can do that, too, and even create an outline for you.&nbsp; MORE DOCTORS USE CHATGPT TO HELP WITH BUSY WORKLOADS, BUT IS AI A RELIABLE ASSISTANT? This bears emphasis: Do not use an LLM chatbot to create legal documents or anything that really needs a lawyer or other professional’s touch. But as a starting place? Absolutely. To be an impartial third party You're arguing with a friend, your spouse, or a relative. Or maybe you're in a contentious situation with someone professionally. Before you text or type an angry reply, consult someone without emotion attached to the situation: your chatbot of choice. Here’s a prompt idea: ""My roommate and I are arguing because she keeps leaving her dirty dishes in the sink for days, even though they’re attracting bugs. How can I respectfully make the point that I need her to stop this?"" To analyze information This is an AI sweet spot. The technology excels at finding patterns and pointing them out. Here are a couple of examples to get started: ""Here’s a 20-page legal document.",0.10300000011920929,16.565000534057617
20240518,foxnews,Fox News AI Newsletter: How artificial intelligence is reshaping modern warfare,"Welcome to Fox News’ Artificial Intelligence newsletter with the latest AI technology advancements. IN TODAY’S NEWSLETTER: - How artificial intelligence is reshaping modern warfare- Sebastian Maniscalco admits AI makes a guy who writes like ‘Rocky Balboa’ sound like he ‘went to Yale’- Researchers create AI-powered sarcasm detector NEXT-GEN BATTLE: Modern warfare is changing rapidly, and harnessing artificial intelligence is key to staying ahead of America’s adversaries.  TECHNICALLY SPEAKING: Comedian Sebastian Maniscalco isn’t sure what to make of artificial intelligence in the industry.&nbsp; FUNNY BOT: A team of university researchers in the Netherlands says they've developed an artificial intelligence (AI) platform that can recognize sarcasm, according to a new report.  'OUTCOMPETE CHINA': A bipartisan group of U.S. senators on Wednesday joined in a call to boost American funding of artificial intelligence research. 'MACHINE LEARNING': The widespread use of artificial intelligence tools has many workers concerned that the rapidly-evolving technology will eventually result in them losing their job, and one expert says that is a real concern — but not in the way some might expect.  AI AT WAR: The world may end up breaking into tech alliances as a guiding political issue in the years to come, according to a retired American serviceman-turned-novelist as detailed in his new book.&nbsp; Subscribe now to get the Fox News Artificial Intelligence Newsletter in your inbox. FOLLOW FOX NEWS ON SOCIAL MEDIA FacebookInstagramYouTubeTwitterLinkedIn SIGN UP FOR OUR OTHER NEWSLETTERS Fox News FirstFox News OpinionFox News LifestyleFox News Health DOWNLOAD OUR APPS Fox NewsFox BusinessFox WeatherFox SportsTubi WATCH FOX NEWS ONLINE Fox News Go STREAM FOX NATION Fox Nation Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future with&nbsp;Fox News here.",0.07100000232458115,3.578000068664551
20240430,cnn,Samsung reports enormous jump in profit on AI boom,"Samsung Electronics forecast demand for artificial intelligence would hold strong and tighten supply of some high-end chips, joining rivals in benefiting from a solid rebound in the battered global memory chip market. The upbeat outlook from the world’s largest memory chip maker sent its shares 1.8% higher on Tuesday after it reported a more than 10-fold rise in first-quarter operating profit. But so far this year Samsung shares are down 0.8%, lagging SK Hynix’s 24% gain, as it seeks to catch up with its smaller rival in the supply of top-end chips such as high bandwidth memory (HBM) to AI leader Nvidia (NVDA). “We plan to increase supply of HBM-related chips in 2024 by more than three-fold versus last year,” Jaejune Kim, a Samsung vice president in charge of the memory division, said on an earnings call. Samsung said it began mass production this month of the latest HBM chips for use in generative AI chipsets, called 8-layer HBM3E. It is seeking to capitalize on the AI boom that has benefited SK Hynix, which had been the sole supplier of HBM3 chips to Nvidia. Samsung said it planned to start making the 12-layer version during the second quarter, and expected the latest HBM3E products to account for two-thirds of its HBM output by year-end. Analysts said the targets were aggressive. Samsung’s 8-layer HBM3E appears to be supplying Nvidia, while the 12-layer may go to AMD (AMD) and Nvidia, said Jeff Kim, head of research at KB Securities. “As Samsung’s technology is advantageous for high-stacking, while SK Hynix has its advantages in the 8-layer, there may be a segmentation where Nvidia gets 12-layer products from Samsung and most 8-layer products from SK Hynix,” Kim said. “Samsung is working hard to improve the yield of its 12-layer product,” he added. Samsung did not respond immediately to a request for comment on its HBM customers. Samsung also said it will step up offerings of high-end solid-state drive (SSD) products to meet AI server demand, and expected high-end memory chip supply to become tighter toward year-end due to capacity being focused on HBM, echoing comments from SK Hynix last week. Jump in operating profit The South Korean company’s first-quarter revenue rose 13% to 71.9 trillion won ($52.14 billion), including a 96% increase in memory chip revenue to 17.49 trillion won as prices rose steeply from a severe downturn, partly thanks to the boom in AI. Operating profit rose to 6.6 trillion won in January to March, up from 640 billion won a year earlier. It was the company’s highest operating profit since the third quarter of 2022. The chip division, historically Samsung’s cash cow business that used to account for two-thirds of its operating profit, swung to a profit of 1.91 trillion won in the March quarter from a 4.58 trillion won loss a year earlier. It was the first profit since the third quarter of 2022. Prices of NAND flash chips used to store data increased by 23% to 28% during the",0.27300000190734863,8.055000305175781
20240430,cbsnews,"Chicago Tribune, other major newspapers accuse artificial intelligence companies of stealing content","A group of major newspaper publishers, including the Chicago Tribune and New York Daily News, are accusing two of the biggest artificial intelligence companies of stealing their content to improve their products.That accusation comes in a civil lawsuit filed in the U.S. District Court in New York. The lawsuit targets two of the biggest generative AI platforms in the world, Open AI, the creators of ChatGPT, and Microsoft's Copilot AI program. What is AI's threat to local news? The plaintiffs argue that the development of the internet and the theft of their content is the biggest threat to local news.The suit claims Open AI and Microsoft pay for computers, technical infrastructure, programmers, and other tech workers but not for the newspapers' information used to train their models to generate the content they create. ""Despite admitting that they need copyrighted content to produce a commercially viable GenAI product, the defendants contend they can fuel the creation and operation of these products with the Publishers' content without permission or paying for the privilege.""They are wrong on both counts.""Examples of AI allegedly stealing contentThe lawsuit cited several examples of ChatGPT and Copilot returning verbatim articles from the Chicago Tribune and other publications in response to a user's question on the platform. The newspaper publishers want the companies to compensate them for ""their unlawful use of protected newspaper content to date.""The lawsuit seeks unspecified statutory damages, compensatory damages, and restitution. Artificial intelligence has been touted for various uses, from helping fight wildfires to filling a shortage of mental health professionals.However, it also has been known to serve up wildly inaccurate information about elections.The Associated Press reported that Microsoft declined to comment Tuesday. OpenAI didn't immediately respond to a request for comment to the AP.In addition to the Tribune and Daily News, the other publishers named as plaintiffs are The Orlando Sentinel, South Florida Sun-Sentinel, San Jose Mercury-News, DP Media Network, ORB Publishing, and Northwest Publications.",-0.3970000147819519,7.051000118255615
